Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,XLogP,MaxEStateIndex.1,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,Complexity,Vmax_log
0.67,2.09e-05,1,2.676,1.067,-0.349,4.0,45.0,3,7.0,-0.8,-0.397940009,0.6202,0.4,-0.38210376,0.504,-1.397940009,0.04,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,226.0,52.0,40.5,-0.1,5.99273862,-0.39829863,0.037337328,-1.241764757,0.0,-4.679853713888946
0.14,0.0001254,1,2.676,1.067,-0.349,4.0,45.0,3,7.0,-0.920818754,-0.397940009,0.12,0.4,1.079181246,12.0,-1.397940009,0.04,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,883.0,40.5,-0.1,11.3319983,-0.744035145,0.211204803,-1.241764757,0.0,-3.9017024635053024
4.61,0.0001346,1,2.676,1.067,-0.349,4.0,45.0,3,7.0,0.0,1.301029996,1.0,20.0,-0.397940009,0.4,-1.397940009,0.04,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,-0.1,6.0,-0.254557431,-0.254557431,-1.241764757,0.0,-3.8709549401120418
0.55,4.57e-05,1,2.761,1.137,-0.047,4.0,45.0,3,7.0,-0.8,0.72247199,0.6202,11.6,-0.38210376,0.504,-1.397940009,0.04,6.903089987,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,226.0,52.0,40.5,-0.1,5.99273862,-0.39829863,0.037337328,-1.241764757,0.0,-4.34008379993015
0.46,0.0001748,1,2.761,1.137,-0.047,4.0,45.0,3,7.0,-0.920818754,-0.397940009,0.12,0.4,1.079181246,12.0,-1.397940009,0.04,6.903089987,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,883.0,40.5,-0.1,11.3319983,-0.744035145,0.211204803,-1.241764757,0.0,-3.757458571701616
2.6,0.0001411,1,2.761,1.137,-0.047,4.0,45.0,3,7.0,0.0,1.301029996,1.0,20.0,-0.397940009,0.4,-1.397940009,0.04,6.903089987,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,-0.1,6.0,-0.254557431,-0.254557431,-1.241764757,0.0,-3.850472986245652
0.509,9.18e-05,1,2.724,1.07,-0.119,4.0,25.0,3,7.0,1.556302501,2.831229694,36.0,678.0,2.245512668,176.0,0.221848758,1.6666667,4.879760868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.037157318798758
0.85,0.0001331,1,2.724,1.07,-0.119,4.0,40.0,3,7.0,-1.0,0.204119983,0.1,1.6,-0.698970004,0.2,-1.397940009,0.04,6.903089987,20000.0,0.2,106.121,0.0,26.42752786,1.75,5.88,1.05e-07,0.125,-0.125,0.0,0.0,0.0,-0.393990542,13.21376393,0.0,226.0,52.0,40.5,53.0,5.99273862,-0.39829863,0.037337328,-1.699066797,0.0,-3.875821944525325
1.66,7.74e-05,1,2.724,1.07,-0.119,4.0,40.0,3,7.0,-3.0,1.204119983,0.001,16.0,-0.494850022,0.32,-1.397940009,0.04,6.903089987,20000.0,0.2,106.121,0.0,26.42752786,1.75,5.88,1.05e-07,0.125,-0.125,0.0,0.0,0.0,-0.393990542,13.21376393,0.0,0.0,40.5,52.0,53.0,6.0,-0.254557431,-0.254557431,-1.699066797,0.0,-4.111259039317107
0.142,2.22e-05,1,2.776,1.127,0.077,4.0,37.0,3,2.0,-2.0,0.176091259,0.01,1.5,-0.698970004,0.2,-1.698970004,0.02,6.0,62.07,0.2,62.068,0.0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0.0,0.0,0.0,-0.393990542,0.0,0.0,226.0,52.0,40.5,-1.4,5.99273862,-0.39829863,0.037337328,-1.699066797,0.0,-4.653647025549361
9.406,0.0002584,1,2.776,1.127,0.077,4.0,37.0,3,2.0,-1.0,1.301029996,0.1,20.0,0.602059991,4.0,-1.698970004,0.02,6.0,62.07,0.2,62.068,0.0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0.0,0.0,0.0,-0.393990542,0.0,0.0,0.0,40.5,52.0,-1.4,6.0,-0.254557431,-0.254557431,-1.699066797,0.0,-3.5877074906769537
0.317,2.19e-05,1,2.744,1.09,0.057,4.0,35.0,1,7.0,-1.0,0.903089987,0.1,8.0,0.477121255,3.0,-0.698970004,0.2,5.795880017,200.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,226.0,52.0,40.5,-0.1,5.99273862,-0.39829863,0.037337328,-1.241764757,0.0,-4.6595558851598815
0.325,3.75e-05,1,2.744,1.09,0.057,4.0,35.0,1,7.0,-1.0,0.477121255,0.1,3.0,0.903089987,8.0,-0.698970004,0.2,5.795880017,200.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,-0.1,6.0,-0.254557431,-0.254557431,-1.241764757,0.0,-4.425968732272281
0.2,0.00472,1,3.003,1.108,0.042,3.0,28.0,3,1.0,-2.0,-0.207608311,0.01,0.62,0.672097858,4.7,0.0,1.0,5.458631807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-2.326058001365912
0.38,0.000113,1,3.003,1.108,0.042,3.0,28.0,3,1.0,-0.698970004,0.322219295,0.2,2.1,-0.619788758,0.24,0.0,1.0,5.458631807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.946921556516581
1.18,0.0001148,1,2.992,1.117,-0.09,3.0,40.0,3,2.0,-1.698970004,-0.22184875,0.02,0.6,2.568201724,370.0,-1.420216403,0.038,10.60205999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.940058111938045
0.59,2.18e-05,1,2.992,1.117,-0.09,3.0,40.0,3,2.0,-0.698970004,1.0,0.2,10.0,-0.721246399,0.19,-1.420216403,0.038,10.60205999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.661543506395395
0.311,2.58e-05,1,2.827,1.086,-0.096,5.0,30.0,3,2.0,-1.301029996,-0.397940009,0.05,0.4,0.903089987,8.0,-1.522878745,0.03,7.193820026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.58838029403677
0.669,1.25e-05,1,2.827,1.086,-0.096,5.0,30.0,3,2.0,-0.301029996,0.84509804,0.5,7.0,-0.301029996,0.5,-1.522878745,0.03,7.193820026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.903089986991944
0.691,2.51e-05,1,2.87,1.084,-0.048,4.0,25.0,1,3.0,-1.0,-0.096910013,0.1,0.8,1.0,10.0,-1.0,0.1,7.301029996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.600326278518962
