Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,lgCconst,lgCcat,lgvolume,Sufrace,VSA_EState8,BalabanJ,MinAbsEStateIndex,MinEStateIndex,VSA_EState4,MinPartialCharge,XLogP,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Mcoat_log,MolWt_log,PEOE_VSA7_log,PEOE_VSA8_log,PEOE_VSA9_log,Kappa2_log,EState_VSA6_log,EState_VSA4_log,SMR_VSA7_log,Complexity1_log,Complexity_log,TPSA_log,TPSA1_log,TPSA2_log,MaxEStateIndex.1_log,MaxEStateIndex.2_log
0.0752,0.000255451,1,2.757,1.071,-0.05,6.0,25.0,3,7.0,-3.0,2.0,1.176091259,-2.096910013,3.438384107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.254557431,-0.254557431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.0015,6.98,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,-3.301029996,1.806179974,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.0964,0.353,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,-3.301029996,3.612359948,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.033,0.73,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,-3.301029996,4.294091292,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.112,7.15,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,1.806179974,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.543,0.515,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,3.612359948,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.242,4.94,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,3.765817515,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.304,1.76,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,4.294091292,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.605,5.38E-05,1,2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,-0.096910013,0.0,-1.397940009,2.334453751,0.2,0.0,4.619312135,1.144212963,-2.738425926,-2.738425926,-0.481138775,-1.7,-0.39829863,0.037337328,-2.178395123,0.999984385,5.2581201767966235,5.258135791915182,0.0,0.0,2.5526932690451676,1.3491080995658102,0.0,0.0,0.0,5.420534999272286,0.0,4.883786286426125,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.528,2.15E-05,1,2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,1.146128036,-0.096910013,-1.397940009,2.334453751,0.2,0.0,4.619312135,1.144212963,-2.738425926,-2.738425926,-0.481138775,-1.7,-0.254557431,-0.254557431,-2.178395123,0.999984385,5.2581201767966235,5.258135791915182,0.0,0.0,2.5526932690451676,1.3491080995658102,0.0,0.0,0.0,0.0,0.0,4.883786286426125,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
