X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,lgCconst,lgCcat,lgvolume,Sufrace,VSA_EState8,BalabanJ,MinAbsEStateIndex,MinEStateIndex,VSA_EState4,MinPartialCharge,XLogP,MinPartialCharge.1,BCUT2D_CHGLO,polym,PEOE_VSA8_log,PEOE_VSA9_log,Kappa2_log,EState_VSA6_log,EState_VSA4_log,SMR_VSA7_log,Complexity1_log,TPSA_log,TPSA1_log,TPSA2_log,MaxEStateIndex.1_log,MaxEStateIndex.2_log,Vmaxlog
2.757,1.071,-0.05,6.0,25.0,3,7.0,-3.0,2.0,1.176091259,-2.096910013,3.438384107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.254557431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,-3.5926923928696337
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,-3.301029996,1.806179974,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,0.8438554226231612
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,-3.301029996,3.612359948,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,-0.4522252946121775
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,1.0,-3.301029996,4.294091292,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,5.420534999272286,3.6189933266497696,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,-0.1366771398795441
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,1.806179974,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,0.8543060418010806
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,3.612359948,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,-0.2881927709588089
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,3.765817515,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,0.693726948923647
2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.176091259,-3.301029996,4.294091292,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-1.987595192,1.00000708,1.859546088173736,0.0,2.789010326588534,0.0,2.552693269045168,2.49749707420834,0.0,3.6189933266497696,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,0.2455126678141498
2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,-0.096910013,0.0,-1.397940009,2.334453751,0.2,0.0,4.619312135,1.144212963,-2.738425926,-2.738425926,-0.481138775,-1.7,-0.39829863,-2.178395123,0.999984385,0.0,2.552693269045168,1.3491080995658102,0.0,0.0,0.0,5.420534999272286,4.883786286426125,3.951243718581428,3.701301974112493,1.7905485063083346,1.791759469228055,-4.269217724333611
2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,1.146128036,-0.096910013,-1.397940009,2.334453751,0.2,0.0,4.619312135,1.144212963,-2.738425926,-2.738425926,-0.481138775,-1.7,-0.254557431,-2.178395123,0.999984385,0.0,2.552693269045168,1.3491080995658102,0.0,0.0,0.0,0.0,4.883786286426125,3.701301974112493,3.951243718581428,1.791759469228055,1.7905485063083346,-4.667561540084395
