activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,XLogP,MaxEStateIndex.1,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,Complexity,Vmax_log
1,2.76,1.069,0.038,4.6,25.0,3,7.0,-3.0,-4.0,0.0,0.0001,0.562292864,-1.698970004,0.02,1.085183508,153.18,1.0,153.181,30.66176366,0.0,0.54584845,3.253808597,2.864712197,0.087083333,-0.091878307,6.066367068,6.237682351,0.0,-0.504259893,5.563451492,23.7625527,0.0,40.5,52.0,-1.0,6.0,-0.254557431,-0.254557431,-2.000379653,119.0,-4.08460016478773
2,2.7192,1.1526,0.8835,4.0,37.0,3,7.0,-2.0,-0.096910013,0.01,0.8,0.0,0.698970004,5.0,8.096910013,62.07,0.2,62.068,0.0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0.0,0.0,0.0,-0.393990542,0.0,0.0,226.0,52.0,40.5,-1.4,5.99273862,-0.39829863,0.037337328,-1.699066797,0.0,4.53828461059014
2,2.28,1.35,1.2,3.8,30.0,3,7.0,-3.0,-0.769551079,0.001,0.17,0.0,-2.236572006,0.0058,2.197181279,207.194,0.2,287.268,12.62077651,6.606881965,3.690277778,6.919857351,2.17e-07,0.208333333,-1.417962963,11.09986462,0.0,12.96557803,-0.5050473,12.96557803,24.29722032,226.0,52.0,40.5,6.5,5.99273862,-0.39829863,0.037337328,-2.133673375,0.0,-3.963770455913705
1,2.005,1.71,-0.13,4.0,30.0,1,5.0,-3.0,1.77815125,0.001,60.0,-1.0,0.301029996,2.0,7.005395032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,40.5,0.0,11.3319983,-0.744035145,0.211204803,0.0,0.0,-4.369572124974976
1,2.796,1.07,-0.014,4.0,37.0,3,5.0,-0.698970004,0.698970004,0.2,5.0,2.944482672,-2.319664487,0.00479,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-5.200659450546418
1,2.341,1.004,-0.007,4.0,25.0,3,4.6,-3.0,0.079181246,0.001,1.2,0.0,-1.301029996,0.05,7.431363764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.764471553092451
1,2.6324,1.3498,1.2,4.4,25.0,3,6.8,-1.0,0.146128036,0.1,1.4,3.0,-2.522878745,0.003,6.528273777,182.22,0.2,182.222,0.0,0.0,0.0,3.722155383,4.069511909,1.263117284,-1.286358025,0.0,0.0,0.0,-0.480379935,0.0,0.0,226.0,52.0,40.5,0.1,5.99273862,-0.39829863,0.037337328,-2.072203903,0.0,-4.148130399270234
1,2.63,1.32,0.4242,7.4,25.0,3,4.0,-3.0,0.301029996,0.001,2.0,0.301029996,-2.0,0.01,4.668907502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,160.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.5180803396455147
1,3.15,1.284,0.1836,4.0,35.0,3,2.0,-1.602059991,-0.096910013,0.025,0.8,1.698970004,-1.301029996,0.05,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-2.906578314837765
2,2.1076,1.35,1.2,4.5,25.0,3,7.0,-2.0,0.0,0.01,1.0,0.0,-2.301029996,0.005,3.341830057,80000.0,0.2,111.144,12.62077651,0.0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0.0,12.96557803,-0.319671229,12.96557803,12.77889057,226.0,52.0,40.5,0.4,5.99273862,-0.39829863,0.037337328,-2.048432761,0.0,-3.51427857351842
